Date,ADL,OBV,ADX,MACD Line,RSI,Previous Close
2016-02-24,-320850957.028,8919653400,36.3008927987,-114.325307682,40.7491626787,7109.55
2016-02-25,-436294791.033,8627720856,36.5809189476,-121.590853368,41.5292605801,7018.7
2016-02-26,135178919.248,8840863431,36.6306921321,-121.179063198,41.5196353764,6970.6
2016-02-29,194969870.569,8352894146,37.4003748705,-122.881745393,42.3874300722,7029.75
2016-03-01,492412307.186,8636455716,36.7114436911,-104.049012122,47.1210744784,6987.05
2016-03-02,475598693.452,8985421424,34.8981140389,-76.4176796493,48.9012263734,7222.3
2016-03-03,451337873.13,9272669956,32.4976027342,-45.3826735279,49.5711401408,7368.85
2016-03-04,194567425.922,9563111186,30.229927656,-19.7725385493,47.9544981482,7475.6
2016-03-08,8104212.02118,9298165793,28.2701029193,0.513721488598,49.8048663481,7485.35
2016-03-09,441966031.688,9550875184,26.3160936387,20.1110622991,49.1252498354,7485.3
2016-03-10,-103132829.91,9319290879,24.5643010766,31.5943229079,49.8345767248,7531.8
2016-03-11,77892841.4205,9524097451,22.9376365547,42.1496487648,48.6124766942,7486.15
2016-03-14,-106523766.861,9696164665,21.7635960888,52.2166459602,47.5446476178,7510.2
2016-03-15,-331892149.195,9496510794,20.3139504677,53.2746449486,47.4178555314,7538.75
2016-03-16,330396177.973,9697940829,19.3767750243,56.5397479172,46.6536008919,7460.6
2016-03-17,-184758084.578,9944984783,18.1844849775,59.554404113,45.2210361915,7498.75
2016-03-18,394837246.144,10189712273,17.3210582562,68.560708493,46.1203778531,7512.55
2016-03-21,326978071.33,10392565659,17.308480958,82.8048420273,47.1507711938,7604.35
2016-03-22,294966066.692,10607921507,17.4047113172,93.8707034341,45.6174225412,7704.25
2016-03-23,260124593.072,10813716280,17.4940680794,101.598421591,43.8349602073,7714.9
2016-03-28,-330424948.846,10563811162,16.671250969,98.4061959698,43.171533481,7716.5
2016-03-29,-260346942.832,10340317705,15.8503612389,93.3398517253,44.5451964392,7615.1
2016-03-30,413943529.645,10580161456,15.8786374978,99.3312931096,46.934674175,7597.0
2016-03-31,-29030671.037,10972075515,16.1915136561,103.148732449,45.1905238271,7735.2
2016-04-01,101633903.777,10782503964,16.0577736311,102.941897374,46.3596033279,7738.4
2016-04-04,260234790.175,10942781904,16.1462739128,105.256292716,45.9640600937,7713.05
2016-04-05,-337426937.208,10732655007,15.0251296079,93.4575278951,43.7845696659,7758.8
2016-04-06,-12371491.4115,10903308815,13.9840670391,84.0378970199,42.3288215141,7603.2
2016-04-07,-375387028.135,10661624765,13.5728677763,70.2836232912,42.4777689961,7614.35
2016-04-08,99468520.5627,10809441225,13.2800855845,59.4045356316,40.974533574,7546.45
2016-04-11,336829063.121,10994794493,12.8193442814,59.4735748084,43.0885920354,7555.2
2016-04-12,231641388.814,11163303471,12.747786881,61.8453453907,42.5088182139,7671.4
2016-04-13,313589302.445,11390520759,13.8178379019,74.2865292328,45.1633790862,7708.95
2016-04-18,322840795.223,11580779320,15.1651678274,88.3126814824,45.2649907558,7850.45
2016-04-20,9005534.46809,11792409380,16.5985670955,98.2994083848,43.4377100013,7914.7
2016-04-21,-187931958.636,11561832263,18.1007955059,104.788161275,45.1969023106,7914.75
2016-04-22,14363129.04,11372843723,19.3478195726,107.660680933,46.6851844129,7912.05
2016-04-25,-100158979.907,11222066764,19.8735170926,105.154413646,47.2538601704,7899.3
2016-04-26,352224218.292,11430723567,20.821694095,110.575948806,48.8078958498,7855.05
2016-04-27,238738043.152,11643897625,21.8167445097,114.939533917,47.5013200542,7962.65
2016-04-28,-504994862.491,11342412439,21.3690384579,106.466678561,45.6232388064,7979.9
2016-04-29,109403307.961,11593639486,20.4410240708,98.8185248931,43.8757765426,7847.25
2016-05-02,27003636.2171,11442821305,19.4524702847,88.1982503685,44.5114409894,7849.8
2016-05-03,-325782824.217,11250549935,19.105280174,74.1738386997,44.7129651871,7805.9
2016-05-04,-263840803.878,11044610846,18.3358980377,59.1139852418,45.4057373513,7747.0
2016-05-05,-72323165.3522,11235403674,17.8992380501,48.9506928148,44.5844699895,7706.55
2016-05-06,276600479.633,11066741448,17.144139573,40.2666239012,46.3608599601,7735.5
2016-05-09,289312329.094,11232358277,17.645911181,43.5817650782,49.0137710896,7733.45
2016-05-10,231258389.054,11399315553,18.2887696713,47.4174823528,47.8810062603,7866.05
2016-05-11,93242177.4545,11178603057,18.1698220196,46.7751812733,48.5080012018,7887.8
2016-05-12,166455319.934,11336047975,18.257620588,49.8511541452,48.4015246142,7848.85
2016-05-13,-135355105.017,11150986193,17.5480927593,44.8724872597,47.5783863027,7900.4
2016-05-16,313735226.02,11362533968,16.7495188131,44.1180048023,47.2918373689,7814.9
2016-05-17,-239870629.901,11551674778,16.6535630739,45.4172791756,46.4892521427,7860.75
2016-05-18,214741861.29,11390505360,15.759142282,44.2743485087,47.6875982297,7890.75
