Date,Open,High,Low,Close,Volume,MACD Line,Signal Line,MACD Histogram
2010-01-04,5200.9,5238.45,5167.1,5232.2,148652424,0.0,0.0,0.0
2010-01-05,5277.15,5288.35,5242.4,5277.9,240844424,1.02532051282,0.569622507123,0.455698005698
2010-01-06,5278.15,5310.85,5260.05,5281.8,216147837,1.42740061259,0.921170911005,0.50622970159
2010-01-07,5281.8,5302.55,5244.75,5263.1,181246734,0.900136181624,0.914045325171,-0.0139091435473
2010-01-08,5264.25,5276.75,5234.7,5244.75,201910800,-0.135510287048,0.601826259185,-0.737336546233
2010-01-11,5263.8,5287.2,5227.8,5249.4,238011959,-0.556690399485,0.287803832405,-0.84449423189
2010-01-12,5251.1,5300.5,5200.95,5210.4,206748015,-2.58397423038,-0.438966583219,-2.14500764716
2010-01-13,5212.6,5239.2,5169.55,5233.95,200774550,-2.78174991148,-1.00198147305,-1.77976843843
2010-01-14,5234.5,5272.85,5232.5,5259.9,171282618,-1.58890638109,-1.13756403856,-0.451342342535
2010-01-15,5259.9,5279.85,5242.45,5252.2,167242355,-1.11624034921,-1.1327862943,0.0165459450941
2010-01-18,5253.65,5292.5,5228.95,5274.85,153687597,0.447661674619,-0.786993309283,1.2346549839
2010-01-19,5274.2,5287.8,5218.65,5225.65,141424524,-1.11445733786,-0.85731884931,-0.257138488547
2010-01-20,5226.1,5256.7,5201.4,5221.7,167867201,-2.48131164482,-1.20101214729,-1.28029949753
2010-01-21,5220.2,5220.35,5085.45,5094.15,190009431,-10.8645028587,-3.2226216142,-7.64188124451
2010-01-22,5094.15,5094.15,4954.85,5036.0,270251977,-20.4987826588,-6.80385735393,-13.6949253049
2010-01-25,5034.55,5035.7,4983.05,5007.9,166405391,-29.2558230098,-11.4243045107,-17.8315184991
2010-01-27,5008.5,5008.5,4833.05,4853.1,274773820,-45.1509532065,-18.3250246532,-26.8259285534
2010-01-28,4863.0,4929.9,4824.95,4867.25,275868897,-55.8776148141,-25.9733221646,-29.9042926494
2010-01-29,4866.15,4893.7,4766.0,4882.05,265191792,-62.4921023758,-33.3838755362,-29.1082268396
2010-02-01,4882.05,4918.8,4827.15,4899.7,226819473,-65.6855883726,-39.9195695249,-25.7660188477
2010-02-02,4907.85,4951.15,4814.1,4830.1,235090748,-71.9703786566,-46.3894050513,-25.5809736052
2010-02-03,4831.0,4949.15,4831.0,4931.85,163105434,-69.153565176,-50.9760807695,-18.1774844065
2010-02-04,4931.3,4931.3,4832.35,4845.35,167815142,-72.025801194,-55.2110235442,-16.8147776498
2010-02-05,4819.65,4827.0,4692.35,4718.65,222362365,-82.1166998817,-60.6176910772,-21.4990088045
2010-02-06,4712.75,4768.15,4712.75,4757.25,22091127,-86.3152803608,-65.7766991152,-20.5385812455
2010-02-08,4755.35,4799.05,4675.4,4760.4,205364363,-88.3509336728,-70.3052326796,-18.0457009932
2010-02-09,4760.55,4810.4,4739.35,4792.65,175452494,-86.6186508664,-73.5758241219,-13.0428267445
2010-02-10,4793.0,4826.85,4748.1,4757.2,185053448,-86.7932005186,-76.2244225356,-10.568777983
2010-02-11,4757.25,4843.8,4757.25,4826.85,142638466,-80.8992142068,-77.16082989,-3.73838431672
2010-02-15,4827.9,4845.6,4783.9,4801.95,153758927,-77.167544447,-77.1621744659,-0.00536998103081
2010-02-16,4801.8,4880.0,4791.35,4855.75,156011235,-69.4241459875,-75.6130345764,6.1888885889
2010-02-17,4858.65,4929.7,4857.6,4914.0,176502266,-58.28297515,-72.1442744562,13.8612993062
2010-02-18,4915.1,4922.05,4873.7,4887.75,193513235,-50.8454177488,-67.8818014515,17.0363837027
2010-02-19,4887.3,4887.3,4805.55,4844.9,194311305,-47.6344234074,-63.8302714729,16.1958480655
2010-02-22,4849.35,4912.05,4845.9,4856.4,149362400,-43.7135586091,-59.8052961762,16.0917375671
2010-02-23,4856.6,4884.1,4833.15,4870.05,129233916,-39.1167757608,-55.6662488955,16.5494731347
2010-02-24,4869.55,4880.55,4834.65,4858.6,141213476,-35.9352325754,-51.7190208725,15.7837882971
2010-02-25,4859.0,4880.15,4835.6,4859.75,179443119,-32.9453995603,-47.9635166223,15.018117062
2010-02-26,4858.5,4992.0,4858.45,4922.3,341137163,-25.46547172,-43.4631598919,17.9976881718
2010-03-02,4935.6,5029.45,4935.35,5017.0,233127111,-12.0843310311,-37.1865598165,25.1022287853
2010-03-03,5015.8,5093.25,5015.1,5088.1,191791765,3.97792434984,-28.9527874183,32.9307117682
2010-03-04,5096.95,5096.95,5049.0,5080.25,205104948,15.9035467095,-19.9807573369,35.8843040464
2010-03-05,5080.55,5118.65,5068.05,5088.7,209604746,25.7095815176,-10.842067619,36.5516491366
2010-03-08,5092.15,5147.1,5092.15,5124.0,187964711,35.8209841603,-1.50894911981,37.3299332801
2010-03-09,5121.05,5131.8,5094.35,5101.5,158734706,41.5856026066,7.11033664831,34.4752659583
2010-03-10,5101.6,5137.4,5092.05,5116.25,167174523,46.7688294135,15.0423115903,31.7265178232
2010-03-11,5116.35,5152.6,5102.1,5133.4,155698046,51.6268465516,22.3594225539,29.2674239977
2010-03-12,5131.8,5158.1,5122.1,5137.0,152561763,55.1214536188,28.9119748937,26.2094787252
2010-03-15,5134.45,5151.05,5101.2,5128.9,134878673,56.595687506,34.4488161967,22.1468713093
